,ZIP,CBSA,Unnamed: 0,city,state,res_ratio,bus_ratio,oth_ratio,tot_ratio
210,88339,10460,,,,,,,
211,88325,10460,,,,,,,
212,88081,10460,,,,,,,
213,88310,10460,,,,,,,
214,88330,10460,,,,,,,
215,88352,10460,,,,,,,
216,88350,10460,,,,,,,
217,88340,10460,,,,,,,
218,88349,10460,,,,,,,
219,88311,10460,,,,,,,
220,88342,10460,,,,,,,
221,88314,10460,,,,,,,
222,88344,10460,,,,,,,
223,88347,10460,,,,,,,
224,81133,10480,,,,,,,
225,81102,10480,,,,,,,
226,81141,10480,,,,,,,
227,81151,10480,,,,,,,
228,81129,10480,,,,,,,
229,81140,10480,,,,,,,
230,81138,10480,,,,,,,
231,81144,10480,,,,,,,
232,81136,10480,,,,,,,
233,81126,10480,,,,,,,
234,81146,10480,,,,,,,
235,81101,10480,,,,,,,
236,81125,10480,,,,,,,
237,81123,10480,,,,,,,
238,81152,10480,,,,,,,
239,81120,10480,,,,,,,
240,81124,10480,,,,,,,
241,81148,10480,,,,,,,
242,31721,10500,,,,,,,
243,31763,10500,,,,,,,
244,31708,10500,,,,,,,
245,31782,10500,,,,,,,
246,31824,10500,,,,,,,
247,39877,10500,,,,,,,
248,31744,10500,,,,,,,
249,31701,10500,,,,,,,
250,31771,10500,,,,,,,
251,39842,10500,,,,,,,
252,31702,10500,,,,,,,
253,31795,10500,,,,,,,
254,31743,10500,,,,,,,
255,31707,10500,,,,,,,
256,39862,10500,,,,,,,
257,31714,10500,,,,,,,
258,39886,10500,,,,,,,
259,31704,10500,,,,,,,
260,31764,10500,,,,,,,
261,31768,10500,,,,,,,
262,31772,10500,,,,,,,
263,31705,10500,,,,,,,
264,39885,10500,,,,,,,
265,31791,10500,,,,,,,
266,31787,10500,,,,,,,
267,31781,10500,,,,,,,
268,39826,10500,,,,,,,
269,31712,10500,,,,,,,
270,31706,10500,,,,,,,
271,31775,10500,,,,,,,
272,31789,10500,,,,,,,
273,31796,10500,,,,,,,
274,31703,10500,,,,,,,
275,97335,10540,,,,,,,
276,97352,10540,,,,,,,
277,97446,10540,,,,,,,
278,97322,10540,,,,,,,
279,97348,10540,,,,,,,
280,97321,10540,,,,,,,
281,97346,10540,,,,,,,
282,97333,10540,,,,,,,
283,97350,10540,,,,,,,
284,97383,10540,,,,,,,
285,97336,10540,,,,,,,
286,97389,10540,,,,,,,
287,97374,10540,,,,,,,
288,97358,10540,,,,,,,
289,97377,10540,,,,,,,
290,97360,10540,,,,,,,
291,97386,10540,,,,,,,
292,97355,10540,,,,,,,
293,97345,10540,,,,,,,
294,97329,10540,,,,,,,
295,97759,10540,,,,,,,
296,97327,10540,,,,,,,
297,12223,10580,,,,,,,
298,12067,10580,,,,,,,
299,12187,10580,,,,,,,
300,12020,10580,,,,,,,
301,12122,10580,,,,,,,
302,12144,10580,,,,,,,
303,12150,10580,,,,,,,
304,12151,10580,,,,,,,
305,12065,10580,,,,,,,
306,12090,10580,,,,,,,
307,12092,10580,,,,,,,
308,12182,10580,,,,,,,
309,12052,10580,,,,,,,
310,12306,10580,,,,,,,
311,12220,10580,,,,,,,
312,12201,10580,,,,,,,
313,12831,10580,,,,,,,
314,12822,10580,,,,,,,
315,12154,10580,,,,,,,
316,12149,10580,,,,,,,
317,12140,10580,,,,,,,
318,12074,10580,,,,,,,
319,12055,10580,,,,,,,
320,12237,10580,,,,,,,
321,12234,10580,,,,,,,
322,12036,10580,,,,,,,
323,12226,10580,,,,,,,
324,12085,10580,,,,,,,
325,12025,10580,,,,,,,
326,12120,10580,,,,,,,
327,12059,10580,,,,,,,
328,12828,10580,,,,,,,
329,12185,10580,,,,,,,
330,12194,10580,,,,,,,
331,12196,10580,,,,,,,
332,12047,10580,,,,,,,
333,12309,10580,,,,,,,
334,12304,10580,,,,,,,
335,12305,10580,,,,,,,
336,12303,10580,,,,,,,
337,12202,10580,,,,,,,
338,12803,10580,,,,,,,
339,12157,10580,,,,,,,
340,12121,10580,,,,,,,
341,12086,10580,,,,,,,
342,12189,10580,,,,,,,
343,12043,10580,,,,,,,
344,12061,10580,,,,,,,
345,12023,10580,,,,,,,
346,12027,10580,,,,,,,
347,12307,10580,,,,,,,
348,12203,10580,,,,,,,
349,12210,10580,,,,,,,
350,12866,10580,,,,,,,
351,12863,10580,,,,,,,
352,12260,10580,,,,,,,
353,12233,10580,,,,,,,
354,12222,10580,,,,,,,
355,12057,10580,,,,,,,
356,12224,10580,,,,,,,
357,12184,10580,,,,,,,
358,12167,10580,,,,,,,
359,12008,10580,,,,,,,
360,12041,10580,,,,,,,
361,12022,10580,,,,,,,
362,12035,10580,,,,,,,
363,12019,10580,,,,,,,
364,12137,10580,,,,,,,
365,12066,10580,,,,,,,
366,12084,10580,,,,,,,
367,12083,10580,,,,,,,
368,12180,10580,,,,,,,
369,12186,10580,,,,,,,
370,12188,10580,,,,,,,
371,12170,10580,,,,,,,
372,12056,10580,,,,,,,
373,12053,10580,,,,,,,
374,12302,10580,,,,,,,
375,12206,10580,,,,,,,
376,12205,10580,,,,,,,
377,12833,10580,,,,,,,
378,12835,10580,,,,,,,
379,12133,10580,,,,,,,
380,12073,10580,,,,,,,
381,12246,10580,,,,,,,
382,12024,10580,,,,,,,
383,12118,10580,,,,,,,
384,12134,10580,,,,,,,
385,12138,10580,,,,,,,
386,12028,10580,,,,,,,
387,12204,10580,,,,,,,
388,12207,10580,,,,,,,
389,12859,10580,,,,,,,
390,12227,10580,,,,,,,
391,12249,10580,,,,,,,
392,12141,10580,,,,,,,
393,12235,10580,,,,,,,
394,12040,10580,,,,,,,
395,12045,10580,,,,,,,
396,12064,10580,,,,,,,
397,12082,10580,,,,,,,
398,12175,10580,,,,,,,
399,13320,10580,,,,,,,
400,12131,10580,,,,,,,
401,12031,10580,,,,,,,
402,12093,10580,,,,,,,
403,12062,10580,,,,,,,
404,12850,10580,,,,,,,
405,12018,10580,,,,,,,
406,12148,10580,,,,,,,
407,12077,10580,,,,,,,
408,12076,10580,,,,,,,
409,12193,10580,,,,,,,
410,12054,10580,,,,,,,
411,12308,10580,,,,,,,
412,12209,10580,,,,,,,
413,12107,10580,,,,,,,
414,12166,10580,,,,,,,
415,12236,10580,,,,,,,
416,12884,10580,,,,,,,
417,12247,10580,,,,,,,
418,12123,10580,,,,,,,
419,12094,10580,,,,,,,
420,12046,10580,,,,,,,
421,12208,10580,,,,,,,
422,12245,10580,,,,,,,
423,12232,10580,,,,,,,
424,12240,10580,,,,,,,
425,12197,10580,,,,,,,
426,12345,10580,,,,,,,
427,12181,10580,,,,,,,
428,12033,10580,,,,,,,
429,12153,10580,,,,,,,
430,12301,10580,,,,,,,
431,12168,10580,,,,,,,
432,12009,10580,,,,,,,
433,12010,10580,,,,,,,
434,12110,10580,,,,,,,
435,12143,10580,,,,,,,
436,12158,10580,,,,,,,
437,12159,10580,,,,,,,
438,12198,10580,,,,,,,
439,12211,10580,,,,,,,
440,12871,10580,,,,,,,
441,13459,10580,,,,,,,
442,12257,10580,,,,,,,
443,12255,10580,,,,,,,
444,12288,10580,,,,,,,
445,12248,10580,,,,,,,
446,12239,10580,,,,,,,
447,12087,10580,,,,,,,
448,12161,10580,,,,,,,
449,12007,10580,,,,,,,
450,12434,10580,,,,,,,
451,12128,10580,,,,,,,
452,12063,10580,,,,,,,
453,12089,10580,,,,,,,
454,12212,10580,,,,,,,
455,12156,10580,,,,,,,
456,12147,10580,,,,,,,
457,12160,10580,,,,,,,
458,12071,10580,,,,,,,
459,12460,10580,,,,,,,
460,12169,10580,,,,,,,
461,12183,10580,,,,,,,
462,12469,10580,,,,,,,
463,28002,10620,,,,,,,
464,28001,10620,,,,,,,
465,28137,10620,,,,,,,
466,28071,10620,,,,,,,
467,28009,10620,,,,,,,
468,28107,10620,,,,,,,
469,28163,10620,,,,,,,
470,28129,10620,,,,,,,
471,28109,10620,,,,,,,
472,28128,10620,,,,,,,
473,28097,10620,,,,,,,
474,28124,10620,,,,,,,
475,28127,10620,,,,,,,
476,56051,10660,,,,,,,
477,56009,10660,,,,,,,
478,56020,10660,,,,,,,
479,55953,10660,,,,,,,
480,56045,10660,,,,,,,
481,56072,10660,,,,,,,
482,56007,10660,,,,,,,
483,56026,10660,,,,,,,
484,56029,10660,,,,,,,
485,56016,10660,,,,,,,
486,55917,10660,,,,,,,
487,56097,10660,,,,,,,
488,56036,10660,,,,,,,
489,56043,10660,,,,,,,
490,55912,10660,,,,,,,
491,56035,10660,,,,,,,
492,56042,10660,,,,,,,
493,56089,10660,,,,,,,
494,56032,10660,,,,,,,
495,35962,10700,,,,,,,
496,35747,10700,,,,,,,
497,35964,10700,,,,,,,
498,35754,10700,,,,,,,
499,35755,10700,,,,,,,
500,35769,10700,,,,,,,
501,35980,10700,,,,,,,
502,35957,10700,,,,,,,
503,35175,10700,,,,,,,
504,35951,10700,,,,,,,
505,35031,10700,,,,,,,
506,35956,10700,,,,,,,
507,35776,10700,,,,,,,
508,35952,10700,,,,,,,
509,35975,10700,,,,,,,
510,35760,10700,,,,,,,
511,35087,10700,,,,,,,
512,35950,10700,,,,,,,
513,35976,10700,,,,,,,
514,35016,10700,,,,,,,
515,87196,10740,,,,,,,
516,87014,10740,,,,,,,
517,87119,10740,,,,,,,
518,87052,10740,,,,,,,
519,87184,10740,,,,,,,
520,87072,10740,,,,,,,
521,87015,10740,,,,,,,
522,87181,10740,,,,,,,
523,87001,10740,,,,,,,
524,87025,10740,,,,,,,
525,87107,10740,,,,,,,
526,87124,10740,,,,,,,
527,88321,10740,,,,,,,
528,88318,10740,,,,,,,
529,87197,10740,,,,,,,
530,87061,10740,,,,,,,
531,87101,10740,,,,,,,
532,87031,10740,,,,,,,
533,87102,10740,,,,,,,
534,87104,10740,,,,,,,
535,87106,10740,,,,,,,
536,87108,10740,,,,,,,
537,87068,10740,,,,,,,
538,87027,10740,,,,,,,
539,87111,10740,,,,,,,
540,87109,10740,,,,,,,
541,87013,10740,,,,,,,
542,87122,10740,,,,,,,
543,87144,10740,,,,,,,
544,87528,10740,,,,,,,
545,87062,10740,,,,,,,
546,87036,10740,,,,,,,
547,87070,10740,,,,,,,
548,87023,10740,,,,,,,
549,87187,10740,,,,,,,
550,87053,10740,,,,,,,
551,87032,10740,,,,,,,
552,87042,10740,,,,,,,
553,87176,10740,,,,,,,
554,87044,10740,,,,,,,
555,87004,10740,,,,,,,
556,87059,10740,,,,,,,
557,87043,10740,,,,,,,
558,87113,10740,,,,,,,
559,87112,10740,,,,,,,
560,87123,10740,,,,,,,
561,87048,10740,,,,,,,
562,87022,10740,,,,,,,
563,87026,10740,,,,,,,
564,87024,10740,,,,,,,
565,87115,10740,,,,,,,
566,87006,10740,,,,,,,
567,87544,10740,,,,,,,
568,87009,10740,,,,,,,
569,87041,10740,,,,,,,
570,87195,10740,,,,,,,
571,87193,10740,,,,,,,
572,87018,10740,,,,,,,
573,87116,10740,,,,,,,
574,87192,10740,,,,,,,
575,87083,10740,,,,,,,
576,87117,10740,,,,,,,
577,87194,10740,,,,,,,
578,87154,10740,,,,,,,
579,87153,10740,,,,,,,
580,87125,10740,,,,,,,
581,87105,10740,,,,,,,
582,87035,10740,,,,,,,
583,87114,10740,,,,,,,
584,87191,10740,,,,,,,
585,87198,10740,,,,,,,
586,87131,10740,,,,,,,
587,87151,10740,,,,,,,
588,87103,10740,,,,,,,
589,87060,10740,,,,,,,
590,87046,10740,,,,,,,
591,87185,10740,,,,,,,
592,87190,10740,,,,,,,
593,87063,10740,,,,,,,
594,87199,10740,,,,,,,
595,87008,10740,,,,,,,
596,87016,10740,,,,,,,
597,87174,10740,,,,,,,
598,87047,10740,,,,,,,
599,87002,10740,,,,,,,
600,87110,10740,,,,,,,
601,87121,10740,,,,,,,
602,87120,10740,,,,,,,
603,35089,10760,,,,,,,
604,36256,10760,,,,,,,
605,35011,10760,,,,,,,
606,35072,10760,,,,,,,
607,36853,10760,,,,,,,
608,36850,10760,,,,,,,
609,36861,10760,,,,,,,
610,36255,10760,,,,,,,
611,36849,10760,,,,,,,
612,36276,10760,,,,,,,
613,36879,10760,,,,,,,
614,36866,10760,,,,,,,
615,35010,10760,,,,,,,
616,36078,10760,,,,,,,
617,71447,10780,,,,,,,
618,71433,10780,,,,,,,
619,71454,10780,,,,,,,
620,71361,10780,,,,,,,
621,71427,10780,,,,,,,
622,71306,10780,,,,,,,
623,71307,10780,,,,,,,
624,71466,10780,,,,,,,
625,71430,10780,,,,,,,
626,71477,10780,,,,,,,
627,71409,10780,,,,,,,
628,71365,10780,,,,,,,
629,71351,10780,,,,,,,
630,71485,10780,,,,,,,
631,71404,10780,,,,,,,
632,71417,10780,,,,,,,
633,71301,10780,,,,,,,
634,71423,10780,,,,,,,
635,71360,10780,,,,,,,
636,71455,10780,,,,,,,
637,71315,10780,,,,,,,
638,71467,10780,,,,,,,
639,71348,10780,,,,,,,
640,71463,10780,,,,,,,
641,71472,10780,,,,,,,
642,71424,10780,,,,,,,
643,71432,10780,,,,,,,
644,70656,10780,,,,,,,
645,71438,10780,,,,,,,
646,71303,10780,,,,,,,
647,71405,10780,,,,,,,
648,71328,10780,,,,,,,
649,71407,10780,,,,,,,
650,71330,10780,,,,,,,
651,71359,10780,,,,,,,
652,71323,10780,,,,,,,
653,71448,10780,,,,,,,
654,71325,10780,,,,,,,
655,71322,10780,,,,,,,
656,71346,10780,,,,,,,
657,71302,10780,,,,,,,
658,56354,10820,,,,,,,
659,56334,10820,,,,,,,
660,56327,10820,,,,,,,
661,56339,10820,,,,,,,
662,56355,10820,,,,,,,
663,56343,10820,,,,,,,
664,56308,10820,,,,,,,
665,56361,10820,,,,,,,
666,56446,10820,,,,,,,
667,56341,10820,,,,,,,
668,56349,10820,,,,,,,
669,56309,10820,,,,,,,
670,56385,10820,,,,,,,
671,56315,10820,,,,,,,
672,56360,10820,,,,,,,
673,56332,10820,,,,,,,
674,56319,10820,,,,,,,
675,56326,10820,,,,,,,
676,78332,10860,,,,,,,
677,78384,10860,,,,,,,
678,78342,10860,,,,,,,
679,78383,10860,,,,,,,
680,78355,10860,,,,,,,
681,78353,10860,,,,,,,
682,78380,10860,,,,,,,
683,78375,10860,,,,,,,
684,78372,10860,,,,,,,
685,18053,10900,,,,,,,
686,18036,10900,,,,,,,
687,18058,10900,,,,,,,
688,18255,10900,,,,,,,
689,7882,10900,,,,,,,
690,18068,10900,,,,,,,
691,18044,10900,,,,,,,
692,18237,10900,,,,,,,
693,18060,10900,,,,,,,
694,18244,10900,,,,,,,
695,19539,10900,,,,,,,
696,18079,10900,,,,,,,
697,18063,10900,,,,,,,
698,18252,10900,,,,,,,
699,18037,10900,,,,,,,
700,18210,10900,,,,,,,
701,18201,10900,,,,,,,
702,7844,10900,,,,,,,
703,18083,10900,,,,,,,
704,7846,10900,,,,,,,
705,18212,10900,,,,,,,
706,18211,10900,,,,,,,
707,8827,10900,,,,,,,
708,18016,10900,,,,,,,
709,18216,10900,,,,,,,
710,19530,10900,,,,,,,
711,18232,10900,,,,,,,
712,18661,10900,,,,,,,
713,18038,10900,,,,,,,
714,18002,10900,,,,,,,
715,18092,10900,,,,,,,
716,18040,10900,,,,,,,
717,18042,10900,,,,,,,
718,18051,10900,,,,,,,
719,18032,10900,,,,,,,
720,18034,10900,,,,,,,
721,18069,10900,,,,,,,
722,18062,10900,,,,,,,
723,18106,10900,,,,,,,
724,7880,10900,,,,,,,
725,8848,10900,,,,,,,
726,18046,10900,,,,,,,
727,7828,10900,,,,,,,
728,18065,10900,,,,,,,
729,18230,10900,,,,,,,
730,8802,10900,,,,,,,
731,18041,10900,,,,,,,
732,7860,10900,,,,,,,
733,18011,10900,,,,,,,
734,18240,10900,,,,,,,
735,18020,10900,,,,,,,
736,18066,10900,,,,,,,
737,18059,10900,,,,,,,
738,18014,10900,,,,,,,
739,18015,10900,,,,,,,
740,18013,10900,,,,,,,
741,18105,10900,,,,,,,
742,18102,10900,,,,,,,
743,18087,10900,,,,,,,
744,18052,10900,,,,,,,
745,7832,10900,,,,,,,
746,18072,10900,,,,,,,
747,8865,10900,,,,,,,
748,18049,10900,,,,,,,
749,18043,10900,,,,,,,
750,18067,10900,,,,,,,
751,18104,10900,,,,,,,
752,18101,10900,,,,,,,
753,7823,10900,,,,,,,
754,18018,10900,,,,,,,
755,18017,10900,,,,,,,
756,18064,10900,,,,,,,
757,18071,10900,,,,,,,
758,18078,10900,,,,,,,
759,18109,10900,,,,,,,
760,18229,10900,,,,,,,
761,18088,10900,,,,,,,
762,7838,10900,,,,,,,
763,7863,10900,,,,,,,
764,7821,10900,,,,,,,
765,7825,10900,,,,,,,
766,8804,10900,,,,,,,
767,8808,10900,,,,,,,
768,7833,10900,,,,,,,
769,18035,10900,,,,,,,
770,18030,10900,,,,,,,
771,18077,10900,,,,,,,
772,7840,10900,,,,,,,
773,8886,10900,,,,,,,
774,18031,10900,,,,,,,
775,18080,10900,,,,,,,
776,18235,10900,,,,,,,
777,18103,10900,,,,,,,
778,19529,10900,,,,,,,
779,18195,10900,,,,,,,
780,7874,10900,,,,,,,
781,7820,10900,,,,,,,
782,18086,10900,,,,,,,
783,18085,10900,,,,,,,
784,18351,10900,,,,,,,
785,18224,10900,,,,,,,
786,18333,10900,,,,,,,
787,18254,10900,,,,,,,
788,18624,10900,,,,,,,
789,7865,10900,,,,,,,
790,18045,10900,,,,,,,
791,18055,10900,,,,,,,
792,18250,10900,,,,,,,
793,18343,10900,,,,,,,
794,18091,10900,,,,,,,
795,18012,10900,,,,,,,
796,18951,10900,,,,,,,
797,48879,10940,,,,,,,
798,48889,10940,,,,,,,
799,48874,10940,,,,,,,
800,48614,10940,,,,,,,
801,48807,10940,,,,,,,
802,48847,10940,,,,,,,
803,48801,10940,,,,,,,
804,48877,10940,,,,,,,
805,48856,10940,,,,,,,
806,48862,10940,,,,,,,
807,48830,10940,,,,,,,
808,48891,10940,,,,,,,
809,48832,10940,,,,,,,
810,48615,10940,,,,,,,
811,48880,10940,,,,,,,
812,48811,10940,,,,,,,
813,48831,10940,,,,,,,
814,48845,10940,,,,,,,
815,48662,10940,,,,,,,
816,48637,10940,,,,,,,
817,48806,10940,,,,,,,
818,48871,10940,,,,,,,
819,48818,10940,,,,,,,
820,48883,10940,,,,,,,
821,49753,10980,,,,,,,
822,49707,10980,,,,,,,
823,49747,10980,,,,,,,
824,48762,10980,,,,,,,
825,49746,10980,,,,,,,
826,49776,10980,,,,,,,
827,49766,10980,,,,,,,
828,49744,10980,,,,,,,
829,16613,11020,,,,,,,
830,16665,11020,,,,,,,
831,16655,11020,,,,,,,
832,16631,11020,,,,,,,
833,16682,11020,,,,,,,
834,16636,11020,,,,,,,
835,16637,11020,,,,,,,
836,16684,11020,,,,,,,
837,16611,11020,,,,,,,
838,16629,11020,,,,,,,
839,16603,11020,,,,,,,
840,15946,11020,,,,,,,
841,16602,11020,,,,,,,
842,16693,11020,,,,,,,
843,16673,11020,,,,,,,
844,16662,11020,,,,,,,
845,16870,11020,,,,,,,
846,16648,11020,,,,,,,
847,16635,11020,,,,,,,
848,16601,11020,,,,,,,
849,16625,11020,,,,,,,
850,16686,11020,,,,,,,
851,16641,11020,,,,,,,
852,16617,11020,,,,,,,
853,73521,11060,,,,,,,
854,73532,11060,,,,,,,
855,73522,11060,,,,,,,
856,73549,11060,,,,,,,
857,73556,11060,,,,,,,
858,73560,11060,,,,,,,
859,73539,11060,,,,,,,
860,73655,11060,,,,,,,
861,73537,11060,,,,,,,
862,73523,11060,,,,,,,
863,73526,11060,,,,,,,
864,79101,11100,,,,,,,
865,79103,11100,,,,,,,
866,79080,11100,,,,,,,
867,79120,11100,,,,,,,
868,79114,11100,,,,,,,
869,79092,11100,,,,,,,
870,79119,11100,,,,,,,
871,79111,11100,,,,,,,
872,79016,11100,,,,,,,
873,79091,11100,,,,,,,
874,79010,11100,,,,,,,
875,79106,11100,,,,,,,
876,79108,11100,,,,,,,
877,79110,11100,,,,,,,
878,79097,11100,,,,,,,
879,79042,11100,,,,,,,
880,79104,11100,,,,,,,
881,79039,11100,,,,,,,
882,79124,11100,,,,,,,
883,79159,11100,,,,,,,
884,79098,11100,,,,,,,
885,79068,11100,,,,,,,
886,79058,11100,,,,,,,
887,79121,11100,,,,,,,
